CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
745204430,12/23/2015,15:25:00,12/23/2015,15:30:00,12/24/2015,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,109,FRONT OF,PARKING LOT/GARAGE (PUBLIC),,,1032874,222043,40.77600754,-73.82444102,"(40.77600754, -73.82444102)"
150956083,12/23/2015,15:15:00,12/23/2015,15:30:00,12/24/2015,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,14,,TRANSIT - NYC SUBWAY,,,987866,214721,40.756043535,-73.986949544,"(40.756043535, -73.986949544)"
957642634,12/23/2015,15:00:00,12/24/2015,00:00:00,12/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1007501,243435,40.834825825,-73.915977882,"(40.834825825, -73.915977882)"
229260445,12/23/2015,15:00:00,12/23/2015,20:00:00,12/24/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE - APT. HOUSE,,,960317,169387,40.631580605,-74.086226199,"(40.631580605, -74.086226199)"
340671497,12/23/2015,14:30:00,12/24/2015,05:30:00,12/24/2015,107,BURGLARY,243,"BURGLARY,UNCLASSIFIED,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,FRONT OF,CONSTRUCTION SITE,,,992506,217587,40.763906857,-73.970198007,"(40.763906857, -73.970198007)"
481604321,12/23/2015,14:30:00,12/23/2015,23:15:00,12/24/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,,STREET,,,997439,233857,40.808557679,-73.952358366,"(40.808557679, -73.952358366)"
515302229,12/23/2015,14:15:00,12/23/2015,22:00:00,12/24/2015,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE - APT. HOUSE,,,1054327,199114,40.712929381,-73.747222685,"(40.712929381, -73.747222685)"
310909003,12/23/2015,14:05:00,12/23/2015,18:00:00,12/24/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106,INSIDE,JEWELRY,,,1032647,189246,40.685989226,-73.825496511,"(40.685989226, -73.825496511)"
475726189,12/23/2015,14:00:00,12/23/2015,15:00:00,12/24/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,CLOTHING/BOUTIQUE,,,1021399,256786,40.87142279,-73.865679907,"(40.87142279, -73.865679907)"
749249298,12/23/2015,14:00:00,12/24/2015,10:15:00,12/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,107,FRONT OF,STREET,,,1037090,206114,40.732262379,-73.809344071,"(40.732262379, -73.809344071)"
428561060,12/23/2015,14:00:00,,,12/24/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,49,INSIDE,RESIDENCE - APT. HOUSE,,,1020554,255030,40.866606627,-73.868744725,"(40.866606627, -73.868744725)"
213377130,12/23/2015,13:45:00,12/23/2015,22:00:00,12/24/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,HOTEL/MOTEL,,,985777,217689,40.764190543,-73.994489089,"(40.764190543, -73.994489089)"
343556613,12/23/2015,13:40:00,12/24/2015,07:45:00,12/24/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,,1017970,243163,40.834045498,-73.878146819,"(40.834045498, -73.878146819)"
597730568,12/23/2015,13:23:00,12/23/2015,13:32:00,12/24/2015,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,CLOTHING/BOUTIQUE,,,992612,218272,40.765786905,-73.969814503,"(40.765786905, -73.969814503)"
